2236,Simon
2239,Simonics
2240,Simonovits
2244,Sindler
2245,Sipos
2253,Skriván
2254,Skultéti
2258,Sohr
2262,Somodi
2263,Somogyi
2266,Sorbán
2267,Soó
2274,Spánitz
2277,Stadler
2278,Stahl
2279,Stancz
2280,Stankovics
2281,Stankovits
2282,Stark
2283,Stefanovits
2284,Stefánovits
2285,Steger
2286,Stein
2287,Steindl
2288,Stephani
2290,Stepánek
2291,Stern
2292,Stettler
2293,Stettner
2295,Stifter
2297,Stipanics
2299,Stoffer
2308,Streér
2310,Strobel
2311,Strobl
2312,Stréer
2313,Stróbl
2314,Strósz
2318,Stuhl
2319,Sturza
2321,Stéger
2328,Sulyok
2333,Swoboda
2339,Szabó
2344,Szaiff
2348,Szakács
2351,Szalai
2352,Szalay
2358,Szaniszló
2361,Szedlacsek
2362,Szedlácskó
2364,Szegő
2367,Szeitz
2371,Szeles
2377,Szemes
2380,Szemián
2381,Szemler
2382,Szende
2389,Szente
2393,Szentgyörgyi
2399,Szentpéteri
2401,Szepessy
2407,Szervisz
2409,Szidon
2411,Szigeti
2412,Szigriszt
2417,Szily
2419,Szilágyi
2426,Szivós
2427,Szkalka
2429,Szlavnits
2430,Szlobodnik
2431,Szlovák
2434,Szmrekovszky
2439,Szokolik
2451,Sztarill
2452,Sztraka
2459,Szvoboda
2462,Szánthó
2463,Szántó
2464,Száraz
2465,Szász
2468,Szécsi
2471,Székely
2473,Széles
2474,Széll
2477,Szíjgyártó
2478,Szíjjártó
2480,Szívós
2483,Szöllősi
2485,Szücs
2487,Szüsz
2490,Szőllősi
2492,Szőnyi
2494,Szűcs
2499,Sági
2501,Sámson
2502,Sándor
2503,Sánta
2505,Sári
2511,Sípos
2512,Sóos
2521,Takács
2525,Tamási
2530,Tar
2535,Tatár
2537,Tauszk
2543,Tenk
2549,Thain
2550,Theil
2551,Theodorovits
2559,Till
2560,Timár
2562,Tiringer
2564,Titzer
2576,Toperczer
2581,Tordy
2583,Torma
2588,Trautmann
2589,Trenkó
2595,Tujner
2597,Tupicza
2606,Tóth
2611,Török
2626,Ullmann
2629,Unger
2630,Unterberg
2634,Urbán
2640,Vadas
2646,Vajda
2649,Vakarcs
2653,Valter
2656,Vancsura
2660,Varga
2663,Varjú
2666,Vas
2668,Vass
2675,Vatai
2677,Vavró
2683,Veres
2688,Veszély
2693,Viczko
2694,Vida
2697,Viertl
2704,Vimmer
2705,Vincze
2706,Viola
2708,Virnhart
