yb19092546,Holovka
1908,Pok
1996,Pőcze
yb1909973,Siegmund
428,Czaha
640,Finta
2780,Weninger
yb19092485,Nyegró
yb19092045,Hanigovszky
yb19122912,Paczes
415,Csupor
446,Czárán
1658,Minich
2208,Schülheck
yb19121302,Vanyatka
775,Grabowski
2483,Szöllősi
2279,Stancz
856,Hajdú
2380,Szemián
yb19121893,Striskovics
1578,Marics
yb19092094,Sinkler
2162,Schermann
yb19092328,Julcher
744,Gergely
2825,Zachar
203,Blasinger
1518,Lukács
283,Brányik
1286,Kornya
99,Barcza
2634,Urbán
yb19121787,Czeikovits
1995,Púk
1323,Král
2061,Roller
679,Furka
yb19092355,Jakubik
2073,Rosta
2663,Varjú
545,Dürr
1324,Králik
1858,Petrik
1166,Kazimir
1617,Medve
461,Darvas
2668,Vass
2216,Sebők
yb19121976,Szili
91,Balázsy
2494,Szűcs
160,Benyovits
2411,Szigeti
665,Frick
yb19092315,Kolesza
713,Gallovich
1291,Korén
alm1904132,Ponus
yb19091547,Caragutz
1999,Quancz
2895,Árva
1215,Kiszela
2897,Ébner
1622,Melega
1278,Korb
1723,Nagy
1727,Navratil
1139,Kapeller
yb19092078,Burucs
491,Dlauchy
yb19092488,Englert
965,Hock
1712,Mészáros
3,Ackerl
1082,Jankó
yb19122511,Chrobák
2583,Torma
1148,Karg
1998,Quaiszer
2125,Rónai
534,Dániel
175,Berta
1873,Pichelmayer
964,Hochholczer
1366,Kákics
425,Csögör
1843,Peckl
2251,Siráky
528,Dull
714,Galló
2225,Seregi
210,Blöch
63,Bagossy
1624,Melha
812,Gyurmán
2699,Vihar
alm1904452,Schwalcz
339,Bényei
459,Daruba
1750,Noszlopi
2461,Szántay
1338,Kuczkay
2610,Törnek
320,Bányay
2916,ünger
2259,Solty
213,Bobor
2506,Sárközy
1770,Nádaskay
2405,Szerdahelyi
2107,Rátái
562,Emerich
yb1912350,Vara?ek
2441,Szombathelyi
2191,Schröder
421,Csébi
1648,Mikes
2369,Szekér
750,Gerrithon
2619,Udvary
1265,Komlósi
1229,Klenovits
694,Füle
560,Eller
2548,Terényi
1514,Ludwigh
2488,Szőgyi
248,Borsody
975,Holl
326,Bársony
532,Dusárdy
332,Bátori
2112,Régeni
404,Csite
1387,Kókai
1066,Jagasich
2305,Stomm
1491,Lipót
77,Baksay
1190,Kernács
1346,Kullmann
2141,Saly
2438,Szokolay
1555,Madzsar
2700,Villoi
2128,Rózant
2106,Rátz
1962,Pálffy
92,Baló
963,Hochhalt
2093,Rupánovits
1302,Koznia
150,Bendesy
2637,Ursics
1133,Kallaus
215,Bocz
yb19092220,Hamni
294,Budó
137,Behumi
2157,Scheder
2470,Szécsényi
yb19122495,Venninger
1152,Karsay
304,Buttler
653,Forrai
2300,Stoflitz
1222,Kleeberg
242,Boronkai
615,Fegyveres
2322,Stéli
2509,Sényi
2416,Szilvásy
2529,Tanos
2096,Ruzsovits
2345,Szajbely
1115,Jécsy
2136,Rőzsényi
